Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
86,5432,11111110111010101000,1.0,8664
190,199,11110111111100111000,1.0,1892
950,1112,11111110111110101001,1.0,45280
1244,1271,11111110111100001000,1.0,8134
1244,1487,11111110111100001000,1.0,14525
1244,11936,11111110111100001000,1.0,10458
1269,1272,11111010111010001000,1.0,1680
1269,1755,11111010111010001000,1.0,12360
1279,1765,11111010111010001000,1.0,28798
1282,6628,11111010111010001010,1.0,4256
1313,1340,11110110111111101100,1.0,22620
1440,1683,11111010111010001010,1.0,7656
1449,6795,11111111111101101001,1.0,2650
1490,1493,11111110111010001000,1.0,32630
1493,6839,11111110111010001000,1.0,22360
1523,4925,11111110111110001000,1.0,3683
1529,1610,11111110111100001000,1.0,990
1532,1694,11111111111100001001,1.0,17160
1554,3012,11110010111100001000,1.0,24640
1605,1686,11111010111100001000,1.0,2480
1606,1687,11111010111010001010,1.0,3828
1610,1619,11111110111100001000,1.0,1485
1649,1676,11111110111110001000,1.0,19723
1714,1741,11110010111110001000,1.0,21420
1722,1803,11111010111010001000,1.0,1118
1723,1750,11111010111110001000,1.0,3471
1727,12419,11111110111100001000,1.0,1311
1730,5132,11111110111110101001,1.0,93024
1732,1750,11111010111110001000,1.0,6141
1733,1760,11111110111100001000,1.0,13081
1733,3191,11111110111100001000,1.0,24384
1733,5135,11111110111100001000,1.0,12827
1733,7079,11111110111100001000,1.0,30226
1736,3194,11111110111110001000,1.0,4872
1744,1753,11111010111110001000,1.0,7130
1744,7090,11111010111110001000,1.0,28405
1745,1772,11111110111110001010,1.0,2613
1748,1910,11111110111100101000,1.0,27250
1750,1753,11111010111110001000,1.0,5518
1755,7101,11111010111010001000,1.0,43672
1757,1763,11111110111010001000,1.0,8568
1760,1769,11111110111100001000,1.0,5356
1763,3221,11111110111010001000,1.0,4743
1789,1807,11111010111110001000,1.0,11782
1794,7140,11110010111100001000,1.0,44652
1796,1805,11111110111110001000,1.0,976
1796,7142,11111110111110001000,1.0,3599
1803,7149,11111010111010001000,1.0,6579
1804,1805,11111110111110001000,1.0,544
1807,3265,11111010111110001000,1.0,31734
1823,7169,11111110111100001000,1.0,24566
1828,5230,11111010111100101000,1.0,103264
1840,12532,11111010111010001000,1.0,23546
1844,3302,11111110111110001001,1.0,5548
1867,1894,11111010111100001000,1.0,18612
1879,1906,11111010111100001000,1.0,6624
1879,7225,11111010111100001000,1.0,6624
1894,1895,11111010111100001000,1.0,15933
1894,7240,11111010111100001000,1.0,19740
1900,1901,11111110111110101100,1.0,36751
2134,2161,11110111111101101001,1.0,4250
2152,12844,11110111111011111000,1.0,10455
2679,2688,11110010111111101000,1.0,56772
2732,2975,11111110111100001001,1.0,6930
2732,8078,11111110111100001001,1.0,3843
2738,2819,11111110111100001000,1.0,53550
2738,8084,11111110111100001000,1.0,27710
2738,13430,11111110111100001000,1.0,30430
2742,2751,11111110111100001000,1.0,6000
2751,13443,11111110111100001000,1.0,1000
2783,8129,11111110111100001000,1.0,5846
2786,8132,11111110111110001000,1.0,1440
2807,8153,11111110111100101100,1.0,45200
2808,8154,11111010111100001000,1.0,22940
2817,4761,11111010111110001000,1.0,44020
2817,8163,11111010111110001000,1.0,77745
2922,2923,11110010111110001000,1.0,25955
2948,2975,11111110111100001001,1.0,16610
2948,4892,11111110111100001001,1.0,29143
3032,3275,11111110111010001000,1.0,14916
3058,3139,11111110111010001000,1.0,8056
3058,3301,11111110111010001000,1.0,6080
3059,8405,11111110111100001001,1.0,29568
3107,8453,11111110111100001000,1.0,18291
3137,3380,11111110111010001000,1.0,7097
3139,13831,11111110111010001000,1.0,18868
3152,3395,11111110111110101100,1.0,17835
3187,13879,11111010111100101000,1.0,65268
3191,3272,11111110111100001000,1.0,22464
3191,5135,11111110111100001000,1.0,19392
3222,8568,11010010111100001000,1.0,34650
3255,3264,11111010111100001000,1.0,40392
3255,8601,11111010111100001000,1.0,78672
3255,13947,11111010111100001000,1.0,49632
