Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
12,15,11110111000011110000,1.0,10010
30,273,11110001000000000000,1.0,286
38,47,11100111011101110000,1.0,138465
50,1994,11110001000000000000,1.0,42449
50,5396,11110001000000000000,1.0,54417
51,10743,11110101000000000000,1.0,481
53,10745,11110001000001000000,1.0,9184
56,2000,11111111011001110000,1.0,113772
81,162,11111111111001110000,1.0,17850
131,134,11111101000000000000,1.0,1064
131,2075,11111101000000000000,1.0,1900
134,5480,11111101000000000000,1.0,1624
134,10826,11111101000000000000,1.0,812
137,5483,11110111011001110000,1.0,72289
145,10837,11110111111001110000,1.0,885312
157,5503,11110101000001100000,1.0,574348
160,161,11111101000001100000,1.0,10890
190,199,11110111111100111000,1.0,242970
200,209,11111111111001110000,1.0,146568
212,215,11111001000000000000,1.0,1156
214,10906,11111101000000000000,1.0,1271
258,259,11110111000001110000,1.0,274456
259,340,11110111000001110000,1.0,712530
259,502,11110111000001110000,1.0,1576614
273,354,11110001000000000000,1.0,308
273,3675,11110001000000000000,1.0,242
288,289,10100001000000000000,1.0,2496
288,291,10100001000000000000,1.0,1584
288,450,10100001000000000000,1.0,1056
288,2232,10100001000000000000,1.0,1824
288,5634,10100001000000000000,1.0,576
289,292,10100001000000000000,1.0,1404
289,2233,10100001000000000000,1.0,3328
290,293,10100001000001000000,1.0,48462
290,371,10100001000001000000,1.0,55160
290,3692,10100001000001000000,1.0,35263
290,5636,10100001000001000000,1.0,76042
291,292,10100001000000000000,1.0,891
291,2235,10100001000000000000,1.0,1749
292,373,10100001000000000000,1.0,1863
292,2236,10100001000000000000,1.0,2322
293,374,10100001000001000000,1.0,70110
293,455,10100001000001000000,1.0,47970
293,3695,10100001000001000000,1.0,46002
296,458,10100001000000000000,1.0,18507
296,2240,10100001000000000000,1.0,51342
296,3698,10100001000000000000,1.0,38805
296,5642,10100001000000000000,1.0,76814
319,400,10100001000001100000,1.0,733716
319,481,10100001000001100000,1.0,469221
323,5669,10100001000001100000,1.0,63558
340,583,11110111000001110000,1.0,2440935
354,372,11110001000000000000,1.0,966
371,374,10100001000001000000,1.0,79800
371,377,10100001000001000000,1.0,81480
372,375,11110001000000000000,1.0,1518
372,453,11110001000000000000,1.0,2001
373,2317,10100001000000000000,1.0,4899
374,377,10100001000001000000,1.0,82935
374,455,10100001000001000000,1.0,55575
374,2318,10100001000001000000,1.0,88350
374,3776,10100001000001000000,1.0,71250
374,5720,10100001000001000000,1.0,139935
377,2321,10100001000001000000,1.0,98358
377,5723,10100001000001000000,1.0,143754
378,621,11110011000011110000,1.0,187380
396,477,11110011000011100000,1.0,284607
400,481,10100001000001100000,1.0,729444
417,660,11110111000011110000,1.0,111077
418,661,11110111000001110000,1.0,120512
450,5796,10100001000000000000,1.0,2398
457,458,10100001000000000000,1.0,3069
458,2402,10100001000000000000,1.0,14136
458,5804,10100001000000000000,1.0,18042
481,484,10100001000001100000,1.0,86058
489,516,11110111000011110100,1.0,236698
490,493,11110111001101110000,1.0,43964
495,498,11110111000001110000,1.0,265576
495,5841,11110111000001110000,1.0,198292
498,499,11110111000001110000,1.0,451330
498,507,11110111000001110000,1.0,467742
499,502,11110111000001110000,1.0,1265055
499,508,11110111000001110000,1.0,293425
499,580,11110111000001110000,1.0,408980
499,661,11110111000001110000,1.0,325490
500,662,11111111000001110000,1.0,55692
502,583,11110111000001110000,1.0,5401053
505,506,11111111000011110000,1.0,59094
506,533,11111111000011110000,1.0,75264
506,11198,11111111000011110000,1.0,21609
507,508,11110111000001110000,1.0,304095
507,669,11110111000001110000,1.0,273372
508,589,11110111000001110000,1.0,240075
510,2454,11110111000101110000,1.0,1609924
513,540,11110011000001110000,1.0,126678
515,596,11111101000001000000,1.0,4743
516,678,11110111000011110100,1.0,241362
517,598,11110111000011110000,1.0,78368
517,679,11110111000011110000,1.0,56248
520,5866,11110111010001110000,1.0,554648
526,535,11110011000011110000,1.0,1188176
533,614,11111111000011110000,1.0,240640
534,535,11110011000011110000,1.0,1023640
535,562,11110011000011110000,1.0,773696
540,541,11110011000001110000,1.0,38958
540,543,11110011000001110000,1.0,62952
541,559,11110011000001110000,1.0,38807
550,631,11110011000011110000,1.0,198170
559,2503,11110011000001110000,1.0,146490
559,5905,11110011000001110000,1.0,70418
