Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
5,1016,11111110111110001000,5.0,1960
5,1523,11111110111110001000,5.0,4816
5,1574,11111110111110001000,5.0,4816
5,1649,11111110111110001000,5.0,3976
5,1676,11111110111110001000,5.0,5936
5,1804,11111110111110001000,5.0,8904
5,3110,11111110111110001000,5.0,5936
5,3194,11111110111110001000,5.0,4816
5,4108,11111110111110001000,5.0,7392
5,4856,11111110111110001000,5.0,3024
5,5104,11111110111110001000,5.0,12712
5,5324,11111110111110001000,5.0,4536
5,6200,11111110111110001000,5.0,1904
5,6710,11111110111110001000,5.0,1568
5,7142,11111110111110001000,5.0,17136
5,8132,11111110111110001000,5.0,3136
5,8270,11111110111110001000,5.0,9912
5,8429,11111110111110001000,5.0,6720
5,9989,11111110111110001000,5.0,10696
5,10238,11111110111110001000,5.0,12992
5,11960,11111110111110001000,5.0,2184
5,12014,11111110111110001000,5.0,1120
5,12050,11111110111110001000,5.0,2856
5,13391,11111110111110001000,5.0,11648
5,14394,11111110111110001000,5.0,7056
5,14395,11111110111110001000,5.0,3920
5,14852,11111110111110001000,5.0,6552
5,15392,11111110111110001000,5.0,2240
8,2125,11111111110101110001,5.0,4500
16,9385,11111111010101100000,5.0,4085
20,5921,11111111111111110000,5.0,35420
20,14333,11111111111111110000,5.0,2100
24,2371,11111101000101110000,5.0,1045
24,2595,11111101000101110000,5.0,770
28,10845,11110101001101110000,5.0,480
45,627,11110011011101110000,5.0,442
45,708,11110011011101110000,5.0,221
54,8831,11110101011111110000,5.0,300
82,15490,11111111110100110000,5.0,1210
85,1392,11110111111110100000,5.0,111066
85,10958,11110111111110100000,5.0,6420
88,5474,11110111011111110000,5.0,6760
88,7703,11110111011111110000,5.0,4160
89,2850,11111111111101100000,5.0,119647
89,3085,11111111111101100000,5.0,173734
89,4034,11111111111101100000,5.0,7450
89,5517,11111111111101100000,5.0,6854
89,5529,11111111111101100000,5.0,14453
89,10863,11111111111101100000,5.0,7599
89,11034,11111111111101100000,5.0,5662
127,1998,11110111011100111000,5.0,18029
136,673,11110111011101110000,5.0,7030
136,9137,11110111011101110000,5.0,7220
136,11262,11110111011101110000,5.0,20900
136,11400,11110111011101110000,5.0,3040
136,12701,11110111011101110000,5.0,1520
136,12710,11110111011101110000,5.0,1805
136,13105,11110111011101110000,5.0,2090
136,14724,11110111011101110000,5.0,1900
146,13105,11110111011101110000,5.0,968
163,2850,11111111111101100000,5.0,34529
163,5690,11111111111101100000,5.0,5934
163,11034,11111111111101100000,5.0,1634
165,4127,11111111110101100000,5.0,7380
165,10143,11111111110101100000,5.0,4797
166,8215,11111111111110100100,5.0,111240
167,6638,11111111111101000000,5.0,10416
167,7043,11111111111101000000,5.0,16856
167,14171,11111111111101000000,5.0,896
167,15413,11111111111101000000,5.0,2072
167,15488,11111111111101000000,5.0,8008
168,11028,11110111110101100000,5.0,4100
179,1528,11111111111100001000,5.0,7473
179,3023,11111111111100001000,5.0,29044
179,5306,11111111111100001000,5.0,2385
179,11021,11111111111100001000,5.0,11342
179,12057,11111111111100001000,5.0,7632
179,13596,11111111111100001000,5.0,5883
179,14335,11111111111100001000,5.0,3922
179,14969,11111111111100001000,5.0,8268
180,5764,11111111110101110000,5.0,3204
180,8962,11111111110101110000,5.0,3293
184,5444,11111111111101110000,5.0,1700
188,5764,11111111110101110000,5.0,2340
199,7400,11110111111100111000,5.0,10165
218,8960,11111111111111101001,5.0,16380
225,9298,11111111011111110000,5.0,6110
243,9267,11110111010101100000,5.0,11766
248,5440,11111110111111000001,5.0,2401
256,696,11110111000111110100,5.0,3744
256,3436,11110111000111110100,5.0,1131
256,8779,11110111000111110100,5.0,1404
256,11196,11110111000111110100,5.0,1248
308,9007,10100011001100111000,5.0,648
330,11325,11110111001101100000,5.0,10143
339,8847,11110111000111100100,5.0,18200
348,490,11110111001101110000,5.0,7138
348,702,11110111001101110000,5.0,1892
348,2403,11110111001101110000,5.0,24166
348,5835,11110111001101110000,5.0,18404
387,2204,10100001000111110100,5.0,644
387,7631,10100001000111110100,5.0,294
407,4257,11111111011101100000,5.0,3339
407,10820,11111111011101100000,5.0,1007
410,5517,11111111111101100000,5.0,4876
410,10863,11111111111101100000,5.0,5406
410,11034,11111111111101100000,5.0,4028
413,10798,11111111111111110000,5.0,8569
424,4262,11111111010101100000,5.0,1184
424,10307,11111111010101100000,5.0,851
427,5920,11110111010101110000,5.0,13860
427,6000,11110111010101110000,5.0,7602
427,11412,11110111010101110000,5.0,1008
478,6032,11110111000111100000,5.0,4032
478,14752,11110111000111100000,5.0,6912
490,5950,11110111001101110000,5.0,5229
491,4034,11111111111101100000,5.0,1100
491,5529,11111111111101100000,5.0,2134
491,5690,11111111111101100000,5.0,3036
493,5950,11110111001101110000,5.0,13167
493,11389,11110111001101110000,5.0,5852
509,712,11111111000101110000,5.0,1794
509,3515,11111111000101110000,5.0,1426
509,4260,11111111000101110000,5.0,2116
509,8879,11111111000101110000,5.0,8740
510,595,11110111000101110000,5.0,2844
510,3445,11110111000101110000,5.0,9164
510,3505,11110111000101110000,5.0,7742
510,5599,11110111000101110000,5.0,2370
510,9078,11110111000101110000,5.0,4424
510,11298,11110111000101110000,5.0,38552
510,14110,11110111000101110000,5.0,2844
510,14136,11110111000101110000,5.0,13746
522,3408,11110111000111110000,5.0,2132
522,5987,11110111000111110000,5.0,2296
524,3515,11111111000101110000,5.0,651
525,2251,11100011000101110000,5.0,15680
525,2259,11100011000101110000,5.0,8036
529,3514,11110111001100111000,5.0,8127
529,14145,11110111001100111000,5.0,6579
553,6121,11110001000101100000,5.0,168
553,13266,11110001000101100000,5.0,216
568,692,11110111011111110100,5.0,9660
568,6020,11110111011111110100,5.0,10120
568,6027,11110111011111110100,5.0,15065
568,11100,11110111011111110100,5.0,16675
568,11364,11110111011111110100,5.0,5175
568,12771,11110111011111110100,5.0,5060
569,4724,11111111111111000000,5.0,6726
569,14796,11111111111111000000,5.0,2166
571,14725,11110111011101100000,5.0,7710
572,5519,11111111111101110000,5.0,37518
592,3533,11110111000101100000,5.0,23177
592,5761,11110111000101100000,5.0,847
592,11088,11110111000101100000,5.0,1463
592,14190,11110111000101100000,5.0,6006
592,14515,11110111000101100000,5.0,4235
595,3445,11110111000101110000,5.0,1044
595,3489,11110111000101110000,5.0,1062
595,3505,11110111000101110000,5.0,882
595,5599,11110111000101110000,5.0,270
