Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
12,417,11110111000011110000,2.0,1800
12,579,11110111000011110000,2.0,18630
12,660,11110111000011110000,2.0,18585
12,5601,11110111000011110000,2.0,4005
15,1968,11110111000011110000,2.0,1008
25,259,11110111000001110000,2.0,14141
25,502,11110111000001110000,2.0,47614
25,508,11110111000001110000,2.0,43318
25,2050,11110111000001110000,2.0,30430
25,2455,11110111000001110000,2.0,13246
25,3409,11110111000001110000,2.0,3043
25,3426,11110111000001110000,2.0,15036
25,3508,11110111000001110000,2.0,8592
25,3913,11110111000001110000,2.0,14499
25,7315,11110111000001110000,2.0,3043
37,14131,11110111111001110001,2.0,2170
55,379,11110111001011110000,2.0,1700
86,1304,11111110111010101000,2.0,207624
87,108,11110111011011010000,2.0,1980
97,105,11110111110001110000,2.0,22742
97,3580,11110111110001110000,2.0,36022
109,3510,11110111011111100001,2.0,12328
126,618,11110011010011110000,2.0,5177
136,146,11110111011101110000,2.0,7434
136,1999,11110111011101110000,2.0,43896
136,3511,11110111011101110000,2.0,16461
137,2080,11110111011001110000,2.0,25110
145,5482,11110111111001110000,2.0,38465
145,5492,11110111111001110000,2.0,3920
145,10756,11110111111001110000,2.0,2695
146,12782,11110111011101110000,2.0,4116
175,226,11111111111001110000,2.0,17727
180,188,11111111110101110000,2.0,26201
180,10875,11111111110101110000,2.0,3591
185,5530,11111111111001100000,2.0,37873
188,2114,11111111110101110000,2.0,41370
200,226,11111111111001110000,2.0,26435
200,5544,11111111111001110000,2.0,9605
234,2124,11111111010101110000,2.0,3959
246,490,11110111001101110000,2.0,79456
246,5835,11110111001101110000,2.0,58032
249,268,11110111000001100000,2.0,146880
258,336,11110111000001110000,2.0,50432
258,340,11110111000001110000,2.0,54016
258,495,11110111000001110000,2.0,23552
258,498,11110111000001110000,2.0,24064
258,502,11110111000001110000,2.0,68096
259,418,11110111000001110000,2.0,3081
259,499,11110111000001110000,2.0,13430
259,583,11110111000001110000,2.0,41791
259,3652,11110111000001110000,2.0,1738
264,489,11110111000011110100,2.0,4240
333,337,11111111000011110000,2.0,8064
333,415,11111111000011110000,2.0,1656
333,577,11111111000011110000,2.0,10296
336,340,11110111000001110000,2.0,41567
336,418,11110111000001110000,2.0,7683
336,498,11110111000001110000,2.0,18518
336,580,11110111000001110000,2.0,25610
337,415,11111111000011110000,2.0,2576
337,577,11111111000011110000,2.0,16016
338,417,11110111000011110000,2.0,720
338,579,11110111000011110000,2.0,7452
340,418,11110111000001110000,2.0,8229
340,502,11110111000001110000,2.0,56126
340,580,11110111000001110000,2.0,27430
340,3733,11110111000001110000,2.0,22155
340,3751,11110111000001110000,2.0,9917
340,3985,11110111000001110000,2.0,54227
349,429,11110111011001110000,2.0,92378
378,3789,11110011000011110000,2.0,2835
378,5967,11110011000011110000,2.0,729
388,468,11100011000001110000,2.0,4212
397,559,11110011000001110000,2.0,2145
407,649,11111111011101100000,2.0,3486
410,491,11111111111101100000,2.0,62181
415,577,11111111000011110000,2.0,3289
415,6004,11111111000011110000,2.0,5060
417,579,11110111000011110000,2.0,16560
417,687,11110111000011110000,2.0,75200
417,3822,11110111000011110000,2.0,1760
417,5601,11110111000011110000,2.0,3560
417,6006,11110111000011110000,2.0,32360
418,499,11110111000001110000,2.0,6630
418,580,11110111000001110000,2.0,5070
420,2365,11110111001011111000,2.0,263645
427,5772,11110111010101110000,2.0,15912
428,479,11111111011001110000,2.0,5005
468,2250,11100011000001110000,2.0,4860
479,10928,11111111011001110000,2.0,3276
489,678,11110111000011110100,2.0,31482
490,5835,11110111001101110000,2.0,106578
495,499,11110111000001110000,2.0,15640
495,502,11110111000001110000,2.0,24472
495,507,11110111000001110000,2.0,13800
498,502,11110111000001110000,2.0,25004
498,508,11110111000001110000,2.0,22748
498,580,11110111000001110000,2.0,12220
498,661,11110111000001110000,2.0,57434
498,669,11110111000001110000,2.0,20868
498,5841,11110111000001110000,2.0,12408
498,11192,11110111000001110000,2.0,9400
499,507,11110111000001110000,2.0,25500
499,583,11110111000001110000,2.0,89930
499,589,11110111000001110000,2.0,43010
499,11192,11110111000001110000,2.0,17000
500,578,11111111000001110000,2.0,8352
500,659,11111111000001110000,2.0,9312
500,689,11111111000001110000,2.0,47808
500,5843,11111111000001110000,2.0,3840
500,5855,11111111000001110000,2.0,16992
500,11201,11111111000001110000,2.0,12576
501,546,11110011000011110000,2.0,10178
502,508,11110111000001110000,2.0,64372
502,580,11110111000001110000,2.0,34580
502,661,11110111000001110000,2.0,162526
502,2455,11110111000001110000,2.0,19684
502,3913,11110111000001110000,2.0,21546
502,3931,11110111000001110000,2.0,19418
502,3985,11110111000001110000,2.0,68362
505,533,11111111000011110000,2.0,7392
505,577,11111111000011110000,2.0,13728
505,11198,11111111000011110000,2.0,8736
506,614,11111111000011110000,2.0,7719
507,589,11110111000001110000,2.0,37950
507,3990,11110111000001110000,2.0,5100
507,5934,11110111000001110000,2.0,38100
508,532,11110111000001110000,2.0,47432
508,580,11110111000001110000,2.0,31460
508,661,11110111000001110000,2.0,147862
508,669,11110111000001110000,2.0,53724
508,2455,11110111000001110000,2.0,17908
508,3913,11110111000001110000,2.0,19602
508,5851,11110111000001110000,2.0,32670
508,6016,11110111000001110000,2.0,144232
508,11197,11110111000001110000,2.0,22748
508,11227,11110111000001110000,2.0,49610
512,538,11110111010011110000,2.0,51294
513,541,11110011000001110000,2.0,4865
513,543,11110011000001110000,2.0,1529
516,5859,11110111000011110100,2.0,6320
517,519,11110111000011110000,2.0,6624
517,523,11110111000011110000,2.0,3712
517,3433,11110111000011110000,2.0,704
517,5881,11110111000011110000,2.0,10048
517,11208,11110111000011110000,2.0,6976
517,11218,11110111000011110000,2.0,8032
517,11290,11110111000011110000,2.0,1536
517,11371,11110111000011110000,2.0,3200
519,531,11110111000011110000,2.0,14283
519,11208,11110111000011110000,2.0,45126
520,2463,11110111010001110000,2.0,8100
520,11293,11110111010001110000,2.0,5580
523,531,11110111000011110000,2.0,8004
523,684,11110111000011110000,2.0,66932
523,11214,11110111000011110000,2.0,60900
523,11218,11110111000011110000,2.0,29116
523,11224,11110111000011110000,2.0,16356
523,11296,11110111000011110000,2.0,41992
525,714,11100011000101110000,2.0,25300
526,534,11110011000011110000,2.0,57138
526,550,11110011000011110000,2.0,6741
526,562,11110011000011110000,2.0,9309
526,634,11110011000011110000,2.0,13161
531,684,11110111000011110000,2.0,39813
531,6039,11110111000011110000,2.0,21183
531,11214,11110111000011110000,2.0,36225
531,11224,11110111000011110000,2.0,9729
531,11385,11110111000011110000,2.0,31947
532,640,11110111000001110000,2.0,8428
532,5851,11110111000001110000,2.0,26460
532,5877,11110111000001110000,2.0,76244
532,5959,11110111000001110000,2.0,64680
532,11197,11110111000001110000,2.0,18424
532,11223,11110111000001110000,2.0,26068
532,11227,11110111000001110000,2.0,40180
533,605,11111111000011110000,2.0,6083
533,11198,11111111000011110000,2.0,7007
534,562,11110011000011110000,2.0,5162
