Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
5,1352,11111110111110001000,4.0,4536
5,1736,11111110111110001000,4.0,3136
5,1796,11111110111110001000,4.0,7448
5,1805,11111110111110001000,4.0,1736
5,2786,11111110111110001000,4.0,6216
5,4028,11111110111110001000,4.0,8568
5,4617,11111110111110001000,4.0,7336
5,5126,11111110111110001000,4.0,1176
5,13397,11111110111110001000,4.0,5544
8,5443,11111111110101110001,4.0,9125
16,424,11111111010101100000,4.0,3515
20,413,11111111111111110000,4.0,14630
20,10798,11111111111111110000,4.0,2870
28,12681,11110101001101110000,4.0,168
89,5690,11111111111101100000,4.0,20562
89,5996,11111111111101100000,4.0,5066
127,703,11110111011100111000,4.0,2662
127,7443,11110111011100111000,4.0,20207
135,5474,11110111011111110000,4.0,1560
136,5917,11110111011101110000,4.0,77045
136,5947,11110111011101110000,4.0,13300
136,11269,11110111011101110000,4.0,2090
136,12782,11110111011101110000,4.0,1805
146,1999,11110111011101110000,4.0,3388
146,2052,11110111011101110000,4.0,3124
146,3511,11110111011101110000,4.0,2860
146,11269,11110111011101110000,4.0,968
146,12710,11110111011101110000,4.0,836
146,14724,11110111011101110000,4.0,880
153,3513,11110011001101100000,4.0,69465
163,491,11111111111101100000,4.0,946
163,3085,11111111111101100000,4.0,50138
163,5529,11111111111101100000,4.0,4171
163,12142,11111111111101100000,4.0,5246
165,11110,11111111110101100000,4.0,5535
167,1453,11111111111101000000,4.0,7448
167,4800,11111111111101000000,4.0,9240
168,10704,11110111110101100000,4.0,738
179,1280,11111111111100001000,4.0,15847
179,4277,11111111111100001000,4.0,4664
179,5038,11111111111100001000,4.0,18762
179,12599,11111111111100001000,4.0,16801
180,2114,11111111110101110000,4.0,7654
180,10867,11111111110101110000,4.0,6230
184,572,11111111111101110000,4.0,16354
184,3611,11111111111101110000,4.0,3128
184,3619,11111111111101110000,4.0,8024
184,5519,11111111111101110000,4.0,2652
184,8958,11111111111101110000,4.0,1564
188,8962,11111111110101110000,4.0,2405
188,10867,11111111110101110000,4.0,4550
190,7400,11110111111100111000,4.0,1235
190,8983,11110111111100111000,4.0,923
199,8983,11110111111100111000,4.0,7597
218,3521,11111111111111101001,4.0,12195
218,7490,11111111111111101001,4.0,13545
227,413,11111111111111110000,4.0,7733
227,14333,11111111111111110000,4.0,1110
234,2132,11111111010101110000,4.0,3230
243,13095,11110111010101100000,4.0,7632
246,663,11110111001101110000,4.0,20400
246,702,11110111001101110000,4.0,3740
246,2403,11110111001101110000,4.0,47770
246,3403,11110111001101110000,4.0,2720
247,11122,11110111111100110000,4.0,10296
256,3499,11110111000111110100,4.0,2457
256,5863,11110111000111110100,4.0,1326
256,6034,11110111000111110100,4.0,1638
308,7678,10100011001100111000,4.0,1674
339,8845,11110111000111100100,4.0,11025
348,493,11110111001101110000,4.0,17974
387,7629,10100001000111110100,4.0,616
407,2026,11111111011101100000,4.0,742
409,10909,11110111111111101000,4.0,7208
410,3085,11111111111101100000,4.0,123596
410,5529,11111111111101100000,4.0,10282
410,5690,11111111111101100000,4.0,14628
424,10386,11111111010101100000,4.0,1628
427,3718,11110111010101110000,4.0,2856
