Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
29,10802,11111101011001100001,2.0,297
37,14131,11110111111001110001,2.0,3552
55,379,11110111001011110000,2.0,7665
80,404,10100001001001100000,2.0,240
86,1304,11111110111010101000,2.0,59550
87,108,11110111011011010000,2.0,6222
109,3510,11110111011111100001,2.0,10296
128,5465,11110101111011110001,2.0,11316
136,146,11110111011101110000,2.0,52875
136,1999,11110111011101110000,2.0,37600
136,3511,11110111011101110000,2.0,52640
137,2080,11110111011001110000,2.0,16731
145,5482,11110111111001110000,2.0,133940
145,5492,11110111111001110000,2.0,94350
145,10756,11110111111001110000,2.0,44400
146,12782,11110111011101110000,2.0,60750
175,226,11111111111001110000,2.0,1078
185,5530,11111111111001100000,2.0,4392
200,226,11111111111001110000,2.0,10549
200,5544,11111111111001110000,2.0,13563
246,490,11110111001101110000,2.0,4455
246,5835,11110111001101110000,2.0,4785
322,483,10100001001001000000,2.0,286
349,429,11110111011001110000,2.0,154
407,649,11111111011101100000,2.0,15198
410,491,11111111111101100000,2.0,16352
420,2365,11110111001011111000,2.0,506
428,479,11111111011001110000,2.0,1320
479,10928,11111111011001110000,2.0,2640
490,5835,11110111001101110000,2.0,7047
601,2626,11110111011001110000,2.0,18625
625,6052,11110111001001110000,2.0,209
636,2526,11100011011001110000,2.0,8686
636,2553,11100011011001110000,2.0,12040
651,2598,11110111011011110100,2.0,25506
651,11346,11110111011011110100,2.0,18603
652,11347,11110111111011101000,2.0,25632
665,6038,11110111011011110001,2.0,40454
673,2608,11110111011101110000,2.0,48598
682,7972,11110111011001110000,2.0,41888
682,11383,11110111011001110000,2.0,37774
690,4065,11110111011011110000,2.0,7920
690,11391,11110111011011110000,2.0,6360
692,6036,11110111011111110100,2.0,25864
702,2403,11110111001101110000,2.0,1000
725,5990,11100111001001110000,2.0,1740
732,736,11110010011110000000,2.0,9912
733,1111,11111010011110001100,2.0,25466
734,950,11111110111110101001,2.0,3630
734,1112,11111110111110101001,2.0,3135
734,6404,11111110111110101001,2.0,1551
735,1222,11110010111100100000,2.0,68288
784,1109,11111110111100101000,2.0,9016
784,1296,11111110111100101000,2.0,5040
784,11482,11111110111100101000,2.0,6216
786,1785,11110010111010001000,2.0,31476
787,946,11110110111100100000,2.0,88920
787,6187,11110110111100100000,2.0,101556
791,1223,11111110111110100000,2.0,175461
791,6191,11111110111110100000,2.0,74646
800,1304,11111110111010101000,2.0,44861
800,6137,11111110111010101000,2.0,37290
809,854,11111110111100000000,2.0,6392
809,953,11111110111100000000,2.0,42908
828,1098,11110001001001100000,2.0,270
839,947,11111110111110000000,2.0,16483
839,1382,11111110111110000000,2.0,9116
