Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
12,417,11110111000011110000,2.0,6873
12,579,11110111000011110000,2.0,18328
12,660,11110111000011110000,2.0,12798
12,5601,11110111000011110000,2.0,5688
15,1968,11110111000011110000,2.0,5776
55,379,11110111001011110000,2.0,2255
86,1304,11111110111010101000,2.0,120360
87,108,11110111011011010000,2.0,5544
109,3510,11110111011111100001,2.0,5145
126,618,11110011010011110000,2.0,11567
128,5465,11110101111011110001,2.0,15290
257,497,11111101000011110000,2.0,468
264,489,11110111000011110100,2.0,5157
333,337,11111111000011110000,2.0,3072
333,415,11111111000011110000,2.0,912
333,577,11111111000011110000,2.0,8160
337,415,11111111000011110000,2.0,1216
337,577,11111111000011110000,2.0,10880
338,417,11110111000011110000,2.0,1305
338,579,11110111000011110000,2.0,3480
378,3789,11110011000011110000,2.0,7020
378,5967,11110011000011110000,2.0,4455
415,577,11111111000011110000,2.0,3230
415,6004,11111111000011110000,2.0,1178
417,579,11110111000011110000,2.0,20184
417,687,11110111000011110000,2.0,38541
417,3822,11110111000011110000,2.0,15660
417,5601,11110111000011110000,2.0,6264
417,6006,11110111000011110000,2.0,49416
420,2365,11110111001011111000,2.0,53820
430,14524,11110101010011110100,2.0,7992
489,678,11110111000011110100,2.0,113072
501,546,11110011000011110000,2.0,2520
505,533,11111111000011110000,2.0,2002
505,577,11111111000011110000,2.0,13090
505,11198,11111111000011110000,2.0,9086
506,614,11111111000011110000,2.0,3690
511,3427,11110101000011110000,2.0,5428
512,538,11110111010011110000,2.0,11374
516,5859,11110111000011110100,2.0,28171
517,519,11110111000011110000,2.0,1890
517,523,11110111000011110000,2.0,594
517,3433,11110111000011110000,2.0,990
517,5881,11110111000011110000,2.0,2268
517,11208,11110111000011110000,2.0,3078
517,11218,11110111000011110000,2.0,1656
517,11290,11110111000011110000,2.0,774
517,11371,11110111000011110000,2.0,1566
519,531,11110111000011110000,2.0,5670
519,11208,11110111000011110000,2.0,17955
523,531,11110111000011110000,2.0,1782
523,684,11110111000011110000,2.0,7986
523,11214,11110111000011110000,2.0,4554
523,11218,11110111000011110000,2.0,3036
523,11224,11110111000011110000,2.0,8019
523,11296,11110111000011110000,2.0,2343
526,534,11110011000011110000,2.0,11245
526,550,11110011000011110000,2.0,1235
526,562,11110011000011110000,2.0,1105
526,634,11110011000011110000,2.0,2860
531,684,11110111000011110000,2.0,13068
531,6039,11110111000011110000,2.0,27486
531,11214,11110111000011110000,2.0,7452
531,11224,11110111000011110000,2.0,13122
531,11385,11110111000011110000,2.0,9666
533,605,11111111000011110000,2.0,2184
533,11198,11111111000011110000,2.0,3068
534,562,11110011000011110000,2.0,2941
534,5961,11110011000011110000,2.0,110201
536,5873,11111011000011110000,2.0,6720
538,11221,11110111010011110000,2.0,14288
539,5883,11100011010011110000,2.0,35325
546,621,11110011000011110000,2.0,2856
546,705,11110011000011110000,2.0,3248
549,633,11100011000011110000,2.0,2220
549,2574,11100011000011110000,2.0,13980
549,5898,11100011000011110000,2.0,1920
550,562,11110011000011110000,2.0,323
550,634,11110011000011110000,2.0,836
550,7840,11110011000011110000,2.0,836
561,5908,11110001000011110000,2.0,1102
562,634,11110011000011110000,2.0,748
577,605,11111111000011110000,2.0,14280
577,6004,11111111000011110000,2.0,10540
579,687,11110111000011110000,2.0,102776
579,6006,11110111000011110000,2.0,131776
581,5846,11111111000011110100,2.0,3625
581,5936,11111111000011110100,2.0,2320
594,11304,11110101000011110000,2.0,40608
598,11308,11110111000011110000,2.0,58092
598,11371,11110111000011110000,2.0,12267
600,5964,11110011010011110000,2.0,246745
605,11378,11111111000011110000,2.0,10332
610,5953,11100011000011110000,2.0,113098
613,685,11110111000011110100,2.0,21406
613,697,11110111000011110100,2.0,23485
613,5878,11110111000011110100,2.0,6006
615,5958,11110011000011110100,2.0,127866
621,631,11110011000011110000,2.0,9384
621,705,11110011000011110000,2.0,11832
621,5976,11110011000011110000,2.0,12852
624,5889,11110011000111110100,2.0,2242
631,3790,11110011000011110000,2.0,26956
631,5976,11110011000011110000,2.0,11592
631,5986,11110011000011110000,2.0,2024
631,13267,11110011000011110000,2.0,2116
633,643,11100011000011110000,2.0,1517
633,2574,11100011000011110000,2.0,8621
633,5898,11100011000011110000,2.0,1184
633,5980,11100011000011110000,2.0,999
643,5980,11100011000011110000,2.0,1107
651,2598,11110111011011110100,2.0,225398
651,11346,11110111011011110100,2.0,176704
652,11347,11110111111011101000,2.0,179075
658,6013,11111111000011110100,2.0,5332
660,670,11110111000011110000,2.0,30618
660,684,11110111000011110000,2.0,39204
665,6038,11110111011011110001,2.0,97727
668,5933,11111101000011110100,2.0,1564
670,679,11110111000011110000,2.0,34965
670,5854,11110111000011110000,2.0,18711
670,5935,11110111000011110000,2.0,26082
670,11200,11110111000011110000,2.0,2268
678,697,11110111000011110100,2.0,180560
678,11379,11110111000011110100,2.0,316128
679,687,11110111000011110000,2.0,81955
679,11290,11110111000011110000,2.0,7955
684,6021,11110111000011110000,2.0,95590
684,6039,11110111000011110000,2.0,123178
684,11214,11110111000011110000,2.0,33396
684,11295,11110111000011110000,2.0,106480
684,11367,11110111000011110000,2.0,58080
684,11385,11110111000011110000,2.0,43318
684,14778,11110111000011110000,2.0,18392
685,697,11110111000011110100,2.0,84790
685,5869,11110111000011110100,2.0,20572
687,6006,11110111000011110000,2.0,251624
687,14781,11110111000011110000,2.0,7531
690,4065,11110111011011110000,2.0,108330
690,11391,11110111011011110000,2.0,183540
692,6036,11110111011111110100,2.0,231477
732,736,11110010011110000000,2.0,18904
733,1111,11111010011110001100,2.0,331668
734,950,11111110111110101001,2.0,10492
734,1112,11111110111110101001,2.0,10492
734,6404,11111110111110101001,2.0,6794
786,1785,11110010111010001000,2.0,94908
791,1223,11111110111110100000,2.0,88182
791,6191,11111110111110100000,2.0,23046
800,1304,11111110111010101000,2.0,92480
800,6137,11111110111010101000,2.0,82688
839,947,11111110111110000000,2.0,2662
839,1382,11111110111110000000,2.0,990
839,1406,11111110111110000000,2.0,3674
839,4781,11111110111110000000,2.0,770
844,11537,11110110111010101000,2.0,38962
899,947,11111110111110000000,2.0,19118
945,6292,11110110111010111000,2.0,238854
947,1568,11111110111110000000,2.0,108053
947,2999,11111110111110000000,2.0,47432
1004,11699,11110110111110100000,2.0,23000
1016,6200,11111110111110001000,2.0,4136
1112,6404,11111110111110101001,2.0,9638
1112,6455,11111110111110101001,2.0,12688
1169,1889,11111110111110001010,2.0,10608
1175,11759,11111110000010000000,2.0,169
1221,11994,11111010111111100000,2.0,268233
1223,1247,11111110111110100000,2.0,416628
1223,1259,11111110111110100000,2.0,106713
1223,1706,11111110111110100000,2.0,264546
1223,2690,11111110111110100000,2.0,222372
1223,11942,11111110111110100000,2.0,169974
1230,2689,11110010111111100000,2.0,532220
1232,2699,11111010111110100000,2.0,142330
1241,1259,11111110111110100000,2.0,28891
1241,1466,11111110111110100000,2.0,144282
1241,2690,11111110111110100000,2.0,60204
1241,6569,11111110111110100000,2.0,201545
1241,6614,11111110111110100000,2.0,16262
1242,1324,11111010000110000000,2.0,67881
1242,6589,11111010000110000000,2.0,140437
1242,12015,11111010000110000000,2.0,17765
1246,1326,11111010000010000000,2.0,22330
1246,1407,11111010000010000000,2.0,6496
1246,4891,11111010000010000000,2.0,96831
1246,6673,11111010000010000000,2.0,9135
1246,6835,11111010000010000000,2.0,606361
1247,1259,11111110111110100000,2.0,108884
1247,1706,11111110111110100000,2.0,269928
1247,4676,11111110111110100000,2.0,214508
1247,11942,11111110111110100000,2.0,173432
1259,2690,11111110111110100000,2.0,58116
1259,6614,11111110111110100000,2.0,15698
1259,11942,11111110111110100000,2.0,44422
1267,1347,11111010111110101100,2.0,41796
1269,1279,11111010111010001000,2.0,94656
1269,7101,11111010111010001000,2.0,139264
1272,1755,11111010111010001000,2.0,107735
1272,6780,11111010111010001000,2.0,22620
1275,4679,11111110111110000000,2.0,47138
1276,1600,11111110111110000000,2.0,801360
1276,1843,11111110111110000000,2.0,710836
1276,4679,11111110111110000000,2.0,384356
1276,4687,11111110111110000000,2.0,56392
1279,4924,11111010111010001000,2.0,158688
1279,12214,11111010111010001000,2.0,104400
1279,15373,11111010111010001000,2.0,83520
1281,1758,11111010111010000010,2.0,72078
1281,6618,11111010111010000010,2.0,21648
1281,12459,11111010111010000010,2.0,41943
1282,1362,11111010111010001010,2.0,19737
1282,1606,11111010111010001010,2.0,10191
1282,1687,11111010111010001010,2.0,27993
1282,6627,11111010111010001010,2.0,22317
1282,12136,11111010111010001010,2.0,13287
1285,1446,11111110111111000000,2.0,93583
1290,11985,11111011111010000010,2.0,6966
1292,1616,11111110110110100000,2.0,4556
1294,8098,11111110111110000001,2.0,69419
1299,12234,11111010111110100000,2.0,112056
1302,2679,11110010111111101000,2.0,250342
1304,1541,11111110111010101000,2.0,116280
1304,1628,11111110111010101000,2.0,280840
1304,6137,11111110111010101000,2.0,413440
1304,6644,11111110111010101000,2.0,51680
1320,4641,11110010111111000000,2.0,20200
