bary_id,number_of_circuits,number_of_networks
0,358761,3653
1,7261892,12760
2,11235064,15131
3,647995,5540
4,632743,5794
5,361764,4734
6,414595,2980
7,17455812,14078
8,1533569,8594
9,874369,5171
10,663684,5300
11,2066636,8644
12,17983887,15590
13,1425936,7370
14,41602,794
15,96491,1163
16,537547,3976
17,28637,511
