function_id,bary_id,number_of_circuits,number_of_networks,text_id
01,12,17983887,15590,expd
02,7,17455812,14078,expg
03,2,11235064,15131,lind
04,1,7261892,12760,ling
05,11,2066636,8644,qdcc
06,8,1533569,8594,qgcx
07,13,1425936,7370,degd
08,9,874369,5171,edlg
09,10,663684,5300,pked
10,3,647995,5540,pkld
11,4,632743,5794,pkod
12,16,537547,3976,egfd
13,6,414595,2980,defd
14,5,361764,4734,edog
15,0,358761,3653,edfg
16,15,96491,1163,edqg
17,14,41602,794,oscn
18,17,28637,511,quad
