Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
10,7436,11110101111011110100,5.0,3286
166,8215,11111111111110100100,5.0,14301
208,7461,11110111111011110100,5.0,5734
253,590,11110101000001110100,5.0,390
253,3501,11110101000001110100,5.0,1785
253,4068,11110101000001110100,5.0,825
253,9252,11110101000001110100,5.0,300
253,14101,11110101000001110100,5.0,180
256,696,11110111000111110100,5.0,12564
256,3436,11110111000111110100,5.0,972
256,8779,11110111000111110100,5.0,1368
256,11196,11110111000111110100,5.0,1080
260,3481,11111111000011110100,5.0,846
260,5936,11111111000011110100,5.0,1530
264,613,11110111000011110100,5.0,405
264,4020,11110111000011110100,5.0,1365
264,5859,11110111000011110100,5.0,555
264,5878,11110111000011110100,5.0,570
264,5879,11110111000011110100,5.0,840
264,11359,11110111000011110100,5.0,1785
264,11379,11110111000011110100,5.0,4350
264,13167,11110111000011110100,5.0,585
264,14109,11110111000011110100,5.0,165
264,14143,11110111000011110100,5.0,1425
264,14178,11110111000011110100,5.0,600
264,14625,11110111000011110100,5.0,360
339,8847,11110111000111100100,5.0,23790
341,460,11111111011011110100,5.0,1040
387,2204,10100001000111110100,5.0,7644
387,7631,10100001000111110100,5.0,2028
419,9773,11111101001000110100,5.0,576
430,3984,11110101010011110100,5.0,24825
430,11231,11110101010011110100,5.0,1875
489,613,11110111000011110100,5.0,729
489,685,11110111000011110100,5.0,2943
489,3873,11110111000011110100,5.0,648
489,4020,11110111000011110100,5.0,2457
489,5869,11110111000011110100,5.0,1215
489,5878,11110111000011110100,5.0,1026
489,5879,11110111000011110100,5.0,1512
489,11359,11110111000011110100,5.0,3213
489,13167,11110111000011110100,5.0,1053
489,13297,11110111000011110100,5.0,540
489,14109,11110111000011110100,5.0,297
489,14590,11110111000011110100,5.0,999
489,14625,11110111000011110100,5.0,648
514,14710,11110101000011100100,5.0,645
516,3873,11110111000011110100,5.0,2808
516,13159,11110111000011110100,5.0,7722
516,14143,11110111000011110100,5.0,11115
516,14178,11110111000011110100,5.0,4680
516,14626,11110111000011110100,5.0,9594
516,14782,11110111000011110100,5.0,4095
568,692,11110111011111110100,5.0,4590
568,6020,11110111011111110100,5.0,3519
568,6027,11110111011111110100,5.0,7701
568,11100,11110111011111110100,5.0,680
568,11364,11110111011111110100,5.0,2448
568,12771,11110111011111110100,5.0,1054
581,6013,11111111000011110100,5.0,2303
581,9599,11111111000011110100,5.0,1470
581,14792,11111111000011110100,5.0,2646
590,7985,11110101000001110100,5.0,468
590,9252,11110101000001110100,5.0,520
590,15169,11110101000001110100,5.0,468
613,3832,11110111000011110100,5.0,918
613,11202,11110111000011110100,5.0,3942
613,11379,11110111000011110100,5.0,7830
613,14143,11110111000011110100,5.0,2565
613,14590,11110111000011110100,5.0,999
613,14782,11110111000011110100,5.0,945
651,11294,11110111011011110100,5.0,4128
651,11384,11110111011011110100,5.0,23822
651,13301,11110111011011110100,5.0,9288
651,14767,11110111011011110100,5.0,4300
658,5936,11111111000011110100,5.0,9265
678,5850,11110111000011110100,5.0,7446
678,5869,11110111000011110100,5.0,9855
678,5878,11110111000011110100,5.0,8322
678,5879,11110111000011110100,5.0,12264
678,11202,11110111000011110100,5.0,31974
678,11359,11110111000011110100,5.0,26061
678,13167,11110111000011110100,5.0,8541
678,13297,11110111000011110100,5.0,4380
678,14178,11110111000011110100,5.0,8760
678,14625,11110111000011110100,5.0,5256
678,14794,11110111000011110100,5.0,26280
685,3832,11110111000011110100,5.0,3706
685,3873,11110111000011110100,5.0,2616
685,4020,11110111000011110100,5.0,9919
685,5850,11110111000011110100,5.0,3706
685,7711,11110111000011110100,5.0,11445
685,13167,11110111000011110100,5.0,4251
685,14625,11110111000011110100,5.0,2616
688,11187,11110111001100110100,5.0,4445
694,7492,11110111000100110100,5.0,3596
694,7502,11110111000100110100,5.0,2262
696,8880,11110111000111110100,5.0,121801
696,13169,11110111000111110100,5.0,4886
697,3873,11110111000011110100,5.0,6600
697,5850,11110111000011110100,5.0,9350
697,5859,11110111000011110100,5.0,10175
697,11202,11110111000011110100,5.0,40150
697,13159,11110111000011110100,5.0,18150
697,13167,11110111000011110100,5.0,10725
697,14625,11110111000011110100,5.0,6600
697,14698,11110111000011110100,5.0,6875
701,5580,11110111011011111100,5.0,29783
709,6181,11111101011011100100,5.0,1500
774,4308,11110001001001100100,5.0,2120
921,11467,11110011000000110100,5.0,858
1044,9702,11101101011001110100,5.0,1134
1231,1539,11110010111110101100,5.0,726
1231,7047,11110010111110101100,5.0,6138
1258,13887,11111010111110100100,5.0,15600
1258,15859,11111010111110100100,5.0,2600
1267,1927,11111010111110101100,5.0,28496
1267,3285,11111010111110101100,5.0,7280
1267,7254,11111010111110101100,5.0,22776
1267,8550,11111010111110101100,5.0,9464
1267,8578,11111010111110101100,5.0,6552
1267,12403,11111010111110101100,5.0,22672
1267,13924,11111010111110101100,5.0,12272
1274,4025,11111110111010001100,5.0,7102
1274,4817,11111110111010001100,5.0,848
1274,8555,11111110111010001100,5.0,1007
1274,15473,11111110111010001100,5.0,1325
1338,15523,11111010111111101100,5.0,9504
1347,3393,11111010111110101100,5.0,5734
1347,8550,11111010111110101100,5.0,11102
1347,12591,11111010111110101100,5.0,9882
1349,1712,11111110111110101100,5.0,3990
1349,1900,11111110111110101100,5.0,24567
1349,2895,11111110111110101100,5.0,5016
1349,3152,11111110111110101100,5.0,5871
1349,3259,11111110111110101100,5.0,14763
1349,3395,11111110111110101100,5.0,3762
