Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
4,5592,11110111111110100100,3.0,16050
5,1460,11111110111110001000,3.0,22459
5,3164,11111110111110001000,3.0,2035
12,338,11110111000011110000,3.0,1185
12,687,11110111000011110000,3.0,34997
12,1968,11110111000011110000,3.0,6004
12,5845,11110111000011110000,3.0,11060
12,6006,11110111000011110000,3.0,44872
12,8751,11110111000011110000,3.0,2923
12,8761,11110111000011110000,3.0,3318
15,417,11110111000011110000,3.0,6612
15,519,11110111000011110000,3.0,7980
15,579,11110111000011110000,3.0,17632
15,660,11110111000011110000,3.0,12312
15,1969,11110111000011110000,3.0,9272
15,3822,11110111000011110000,3.0,13680
15,5601,11110111000011110000,3.0,5472
15,12652,11110111000011110000,3.0,1976
15,12813,11110111000011110000,3.0,3496
18,511,11110101000011110000,3.0,18880
18,3417,11110101000011110000,3.0,7600
18,3427,11110101000011110000,3.0,1840
20,227,11111111111111110000,3.0,2565
23,8825,11111111110011000000,3.0,720
55,5500,11110111001011110000,3.0,4895
73,265,11110111000011100000,3.0,3627
86,800,11111110111010101000,3.0,24072
86,1541,11111110111010101000,3.0,30267
86,3785,11111110111010101000,3.0,75579
86,6137,11111110111010101000,3.0,107616
86,6644,11111110111010101000,3.0,13452
86,10694,11111110111010101000,3.0,1947
88,135,11110111011111110000,3.0,5445
88,2053,11110111011111110000,3.0,9240
103,11035,11110111110010100000,3.0,2793
104,170,11111111111011100000,3.0,2483
118,10890,11110111011011110000,3.0,602
126,600,11110011010011110000,3.0,13115
126,5964,11110011010011110000,3.0,34787
135,2053,11110111011111110000,3.0,1848
177,14325,11111111100011110000,3.0,16157
178,5532,11111111101011110000,3.0,6956
186,5520,11111111111011100001,3.0,3894
186,5769,11111111111011100001,3.0,6666
207,11388,11110111010011110000,3.0,8455
208,8938,11110111111011110100,3.0,5049
208,12835,11110111111011110100,3.0,13056
208,14293,11110111111011110100,3.0,6987
217,2116,11111111111011100001,3.0,13261
218,12853,11111111111111101001,3.0,2150
257,334,11111101000011110000,3.0,468
257,3875,11111101000011110000,3.0,273
260,581,11111111000011110100,3.0,1798
260,5846,11111111000011110100,3.0,7750
260,11189,11111111000011110100,3.0,1612
264,516,11110111000011110100,3.0,5319
264,5850,11110111000011110100,3.0,2214
264,11202,11110111000011110100,3.0,5751
265,14116,11110111000011100000,3.0,936
265,14602,11110111000011100000,3.0,1248
333,605,11111111000011110000,3.0,4032
333,3795,11111111000011110000,3.0,864
334,497,11111101000011110000,3.0,1296
337,5927,11111111000011110000,3.0,9920
338,660,11110111000011110000,3.0,2430
338,3792,11110111000011110000,3.0,1110
338,5601,11110111000011110000,3.0,1080
338,11282,11110111000011110000,3.0,660
338,11300,11110111000011110000,3.0,1020
378,546,11110011000011110000,3.0,1260
378,631,11110011000011110000,3.0,4140
378,705,11110011000011110000,3.0,5220
378,3790,11110011000011110000,3.0,13185
378,5976,11110011000011110000,3.0,5670
379,5500,11110111001011110000,3.0,3649
413,5921,11111111111111110000,3.0,24420
415,505,11111111000011110000,3.0,1463
415,6005,11111111000011110000,3.0,1102
417,670,11110111000011110000,3.0,16443
417,684,11110111000011110000,3.0,21054
417,2424,11110111000011110000,3.0,1566
417,3792,11110111000011110000,3.0,6438
417,3831,11110111000011110000,3.0,3741
417,9168,11110111000011110000,3.0,12528
417,13056,11110111000011110000,3.0,6786
477,11394,11110011000011100000,3.0,1505
478,676,11110111000111100000,3.0,986
489,5850,11110111000011110100,3.0,15662
489,5859,11110111000011110100,3.0,27313
489,11202,11110111000011110100,3.0,40683
496,668,11111101000011110100,3.0,5244
501,526,11110011000011110000,3.0,5850
501,534,11110011000011110000,3.0,15570
501,550,11110011000011110000,3.0,1710
501,3419,11110011000011110000,3.0,2520
501,3661,11110011000011110000,3.0,6480
505,614,11111111000011110000,3.0,9471
505,6004,11111111000011110000,3.0,4774
505,13303,11111111000011110000,3.0,2926
506,577,11111111000011110000,3.0,5100
506,605,11111111000011110000,3.0,2520
506,6005,11111111000011110000,3.0,1740
506,6017,11111111000011110000,3.0,2520
511,3418,11110101000011110000,3.0,16048
511,7800,11110101000011110000,3.0,43188
511,12661,11110101000011110000,3.0,4248
512,3904,11110111010011110000,3.0,9075
512,9251,11110111010011110000,3.0,3751
