Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
5,8504,11111110111110001000,8.0,728
5,10297,11111110111110001000,8.0,2520
5,10655,11111110111110001000,8.0,1400
5,10664,11111110111110001000,8.0,1008
5,15544,11111110111110001000,8.0,9744
5,15788,11111110111110001000,8.0,4704
5,15936,11111110111110001000,8.0,9072
5,16017,11111110111110001000,8.0,2408
8,14815,11111111110101110001,8.0,6000
16,10307,11111111010101100000,8.0,2185
16,10386,11111111010101100000,8.0,4180
20,10159,11111111111111110000,8.0,53270
89,14410,11111111111101100000,8.0,5513
163,6960,11111111111101100000,8.0,10320
167,12228,11111111111101000000,8.0,5152
179,9833,11111111111100001000,8.0,26606
184,9299,11111111111101110000,8.0,680
256,8880,11110111000111110100,8.0,9360
410,6633,11111111111101100000,8.0,32224
410,11986,11111111111101100000,8.0,14522
410,12060,11111111111101100000,8.0,5724
487,9790,11111101011111100010,8.0,6006
491,12060,11111111111101100000,8.0,1188
491,12142,11111111111101100000,8.0,2684
509,9600,11111111000101110000,8.0,2254
510,14206,11110111000101110000,8.0,2528
521,9608,11111111011100111000,8.0,592
524,4260,11111111000101110000,8.0,966
524,9600,11111111000101110000,8.0,1029
524,14943,11111111000101110000,8.0,1260
569,14578,11111111111111000000,8.0,4959
571,12672,11110111011101100000,8.0,32896
571,12699,11110111011101100000,8.0,24158
572,15480,11111111111101110000,8.0,11544
576,14956,11111111000101110000,8.0,4500
593,14553,11111111011111100000,8.0,34400
595,13065,11110111000101110000,8.0,504
595,14115,11110111000101110000,8.0,504
639,8791,11110011000101110000,8.0,4365
648,11687,11111101011111100100,8.0,1974
653,15073,11111111111101101001,8.0,197664
673,9137,11110111011101110000,8.0,5624
673,12701,11110111011101110000,8.0,1184
673,12782,11110111011101110000,8.0,1406
692,12771,11110111011111110100,8.0,3696
712,8879,11111111000101110000,8.0,7410
718,7317,11110111011111100000,8.0,16120
718,7398,11110111011111100000,8.0,27900
718,8856,11110111011111100000,8.0,43524
720,8764,11110111000111110000,8.0,888
720,8842,11110111000111110000,8.0,1517
720,8843,11110111000111110000,8.0,925
721,8783,11111111000111110100,8.0,1100
734,10568,11111110111110101001,8.0,119712
734,13516,11111110111110101001,8.0,114608
755,13665,11111010010110001000,8.0,5699
755,13965,11111010010110001000,8.0,3567
784,8552,11111110111100101000,8.0,145266
784,8570,11111110111100101000,8.0,149730
784,8579,11111110111100101000,8.0,127782
784,10007,11111110111100101000,8.0,95604
784,14078,11111110111100101000,8.0,138942
784,15729,11111110111100101000,8.0,64542
785,8088,11111110111100101001,8.0,43155
785,10429,11111110111100101001,8.0,58275
790,13902,11111010011100100000,8.0,4512
791,8436,11111110111110100000,8.0,4277
791,10459,11111110111110100000,8.0,44408
791,10496,11111110111110100000,8.0,31577
791,10514,11111110111110100000,8.0,40040
791,14068,11111110111110100000,8.0,16380
791,15995,11111110111110100000,8.0,29302
809,8323,11111110111100000000,8.0,2850
809,8327,11111110111100000000,8.0,37316
809,10207,11111110111100000000,8.0,3116
809,10215,11111110111100000000,8.0,1634
809,10377,11111110111100000000,8.0,3838
809,10440,11111110111100000000,8.0,7866
809,10490,11111110111100000000,8.0,1786
809,10643,11111110111100000000,8.0,5738
809,10671,11111110111100000000,8.0,3078
809,13609,11111110111100000000,8.0,8094
809,13770,11111110111100000000,8.0,3344
809,13910,11111110111100000000,8.0,8930
809,13911,11111110111100000000,8.0,1672
809,13912,11111110111100000000,8.0,5092
809,14072,11111110111100000000,8.0,4218
809,14074,11111110111100000000,8.0,8208
809,14397,11111110111100000000,8.0,2888
809,14567,11111110111100000000,8.0,532
809,14568,11111110111100000000,8.0,1330
809,14569,11111110111100000000,8.0,1520
809,14574,11111110111100000000,8.0,2090
809,14728,11111110111100000000,8.0,1140
809,15617,11111110111100000000,8.0,6422
809,15746,11111110111100000000,8.0,12844
809,15854,11111110111100000000,8.0,8208
809,15960,11111110111100000000,8.0,6764
809,15970,11111110111100000000,8.0,6498
809,15991,11111110111100000000,8.0,1406
809,16016,11111110111100000000,8.0,13642
809,16018,11111110111100000000,8.0,2850
839,7117,11111110111110000000,8.0,4251
839,9051,11111110111110000000,8.0,728
839,10122,11111110111110000000,8.0,4810
839,10590,11111110111110000000,8.0,1937
839,12544,11111110111110000000,8.0,4043
839,13435,11111110111110000000,8.0,1482
839,13632,11111110111110000000,8.0,4342
839,13668,11111110111110000000,8.0,897
839,13669,11111110111110000000,8.0,4199
839,13750,11111110111110000000,8.0,2782
839,14489,11111110111110000000,8.0,169
839,14638,11111110111110000000,8.0,1170
839,15379,11111110111110000000,8.0,1586
839,15468,11111110111110000000,8.0,1573
839,15469,11111110111110000000,8.0,3133
839,15612,11111110111110000000,8.0,1066
839,15693,11111110111110000000,8.0,1508
839,15892,11111110111110000000,8.0,2496
840,8098,11111110111110000001,8.0,3000
840,10592,11111110111110000001,8.0,5575
840,13436,11111110111110000001,8.0,1600
840,13643,11111110111110000001,8.0,3150
840,13751,11111110111110000001,8.0,3375
842,8170,11111110111100100000,8.0,145040
842,10033,11111110111100100000,8.0,56840
842,10347,11111110111100100000,8.0,72765
842,10510,11111110111100100000,8.0,81095
842,13950,11111110111100100000,8.0,37240
842,15833,11111110111100100000,8.0,42140
842,15914,11111110111100100000,8.0,110495
854,8323,11111110111100000000,8.0,6975
854,10207,11111110111100000000,8.0,7626
854,10316,11111110111100000000,8.0,60078
854,10440,11111110111100000000,8.0,19251
854,13437,11111110111100000000,8.0,18600
854,13609,11111110111100000000,8.0,19809
854,13910,11111110111100000000,8.0,21855
854,13911,11111110111100000000,8.0,4092
854,13912,11111110111100000000,8.0,12462
854,13993,11111110111100000000,8.0,24087
854,14397,11111110111100000000,8.0,7068
854,14574,11111110111100000000,8.0,5115
854,14646,11111110111100000000,8.0,1395
854,14728,11111110111100000000,8.0,2790
854,14799,11111110111100000000,8.0,10416
854,15626,11111110111100000000,8.0,16089
854,15636,11111110111100000000,8.0,7998
854,15707,11111110111100000000,8.0,32271
854,15771,11111110111100000000,8.0,19530
854,15817,11111110111100000000,8.0,3720
854,15854,11111110111100000000,8.0,20088
854,15869,11111110111100000000,8.0,15717
854,15879,11111110111100000000,8.0,8277
854,15923,11111110111100000000,8.0,21204
895,10005,11110010111100000000,8.0,194400
896,13520,11110110111100001000,8.0,164611
899,8596,11111110111110000000,8.0,113160
899,8604,11111110111110000000,8.0,109480
899,8688,11111110111110000000,8.0,4140
899,10085,11111110111110000000,8.0,126500
899,10109,11111110111110000000,8.0,46460
899,10122,11111110111110000000,8.0,85100
899,10138,11111110111110000000,8.0,23000
899,10441,11111110111110000000,8.0,37030
