Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
326,9636,11111111011100100000,9.0,10404
407,9907,11111111011101100000,9.0,20400
729,14732,11110110011101100000,9.0,2470
735,9221,11110010111100100000,9.0,968
784,14054,11111110111100101000,9.0,896
808,15861,11111010001000000000,9.0,154
809,9292,11111110111100000000,9.0,29104
809,14646,11111110111100000000,9.0,3536
809,14799,11111110111100000000,9.0,5236
809,15771,11111110111100000000,9.0,20944
809,15778,11111110111100000000,9.0,16184
854,9292,11111110111100000000,9.0,40232
893,14091,11111110011110000000,9.0,2363
899,10162,11111110111110000000,9.0,18124
899,10189,11111110111110000000,9.0,59494
899,10192,11111110111110000000,9.0,102046
947,10192,11111110111110000000,9.0,161098
947,13435,11111110111110000000,9.0,88946
947,15379,11111110111110000000,9.0,55980
953,10197,11111110111100000000,9.0,173525
953,10201,11111110111100000000,9.0,59314
953,13437,11111110111100000000,9.0,126200
953,13603,11111110111100000000,9.0,35336
953,14646,11111110111100000000,9.0,32812
962,15526,11111110111110100001,9.0,8560
971,15534,11111110111010101010,9.0,4000
1002,10000,11110010111100001000,9.0,7952
1060,8418,11110010001110000000,9.0,1482
1110,10000,11110010111100001000,9.0,5208
1220,9232,11110110111110100000,9.0,19404
1222,9221,11110010111100100000,9.0,8536
1232,9721,11111010111110100000,9.0,262542
1241,15120,11111110111110100000,9.0,41664
1241,15228,11111110111110100000,9.0,42112
1241,15283,11111110111110100000,9.0,23968
1259,15120,11111110111110100000,9.0,62310
1259,15228,11111110111110100000,9.0,62980
1259,15283,11111110111110100000,9.0,35845
1268,14728,11111110111100000000,9.0,10314
1268,14799,11111110111100000000,9.0,14707
1301,9223,11110110111110000000,9.0,9000
1322,9207,11110110111101100000,9.0,97600
1325,14568,11111110111100000000,9.0,2080
1325,14569,11111110111100000000,9.0,5120
1325,14574,11111110111100000000,9.0,20640
1325,14646,11111110111100000000,9.0,8320
1349,15282,11111110111110101100,9.0,12045
1379,14646,11111110111100000000,9.0,5564
1379,14728,11111110111100000000,9.0,5778
1381,9893,11111110111110101001,9.0,2600
1419,14476,11111111111111100000,9.0,153057
1421,15228,11111110111110100000,9.0,48504
1430,9373,11111110111100100000,9.0,95559
1475,14799,11111110111100000000,9.0,7854
1475,14980,11111110111100000000,9.0,4692
1490,14928,11111110111010001000,9.0,3247
1490,14968,11111110111010001000,9.0,9359
1493,14968,11111110111010001000,9.0,7350
1534,8939,11111111111111100000,9.0,5859
1556,9291,11111010111110000000,9.0,63455
1556,9507,11111010111110000000,9.0,198394
1556,9937,11111010111110000000,9.0,88319
1563,9937,11111010111110000000,9.0,47399
1564,9291,11111010111110000000,9.0,63945
1564,9507,11111010111110000000,9.0,199926
1565,15175,11111010111100000000,9.0,12529
1568,9628,11111110111110000000,9.0,6307
1568,9637,11111110111110000000,9.0,27083
1644,9560,11111110111110001000,9.0,18720
1644,14852,11111110111110001000,9.0,6624
1646,9292,11111110111100000000,9.0,36808
1646,14646,11111110111100000000,9.0,4472
1646,14728,11111110111100000000,9.0,4644
1706,14920,11111110111110100000,9.0,37398
1711,9615,11111110111110100000,9.0,234132
1715,9618,11111110111110000000,9.0,16200
1715,9637,11111110111110000000,9.0,5913
1720,9615,11111110111110100000,9.0,217455
1721,9777,11111110111100100000,9.0,287071
1724,9618,11111110111110000000,9.0,10000
1724,9628,11111110111110000000,9.0,850
1724,14967,11111110111110000000,9.0,3400
1727,14475,11111110111100001000,9.0,4888
1727,15121,11111110111100001000,9.0,8060
1739,14478,11111110111010101000,9.0,42755
1742,9618,11111110111110000000,9.0,37200
1742,9637,11111110111110000000,9.0,13578
1748,9627,11111110111100101000,9.0,10150
1751,9618,11111110111110000000,9.0,16800
1751,9628,11111110111110000000,9.0,1428
1751,14967,11111110111110000000,9.0,5712
1754,14556,11111110111110000000,9.0,22752
1754,14967,11111110111110000000,9.0,9792
1783,14972,11111110111110000000,9.0,16159
1784,9220,11110110111100100000,9.0,63060
1787,9628,11111110111110000000,9.0,1955
1787,9637,11111110111110000000,9.0,8395
1787,14967,11111110111110000000,9.0,7820
1790,14968,11111110111010001000,9.0,3430
1792,9779,11111110111100111000,9.0,623700
1792,15125,11111110111100111000,9.0,162470
1796,9510,11111110111110001000,9.0,6200
1798,9507,11111010111110000000,9.0,330912
