Network1,Network2,k_hot_code,Hamming_Distance,number_of_circuits
0,10718,11110111111010100000,4.0,748
5,1352,11111110111110001000,4.0,13530
5,1736,11111110111110001000,4.0,8525
5,1796,11111110111110001000,4.0,2200
5,1805,11111110111110001000,4.0,3520
5,2786,11111110111110001000,4.0,2695
5,4028,11111110111110001000,4.0,18590
5,4617,11111110111110001000,4.0,3520
5,5126,11111110111110001000,4.0,990
5,13397,11111110111110001000,4.0,8415
20,413,11111111111111110000,4.0,5928
20,10798,11111111111111110000,4.0,936
28,12681,11110101001101110000,4.0,6720
37,3575,11110111111001110001,4.0,1632
56,2107,11111111011001110000,4.0,615
56,3635,11111111011001110000,4.0,451
56,5840,11111111011001110000,4.0,9922
65,6065,11100111011001110000,4.0,2790
77,828,11110001001001100000,4.0,660
77,1098,11110001001001100000,4.0,792
79,11177,11110101001001000000,4.0,288
80,5829,10100001001001100000,4.0,195
80,5830,10100001001001100000,4.0,510
81,175,11111111111001110000,4.0,854
81,200,11111111111001110000,4.0,8357
81,209,11111111111001110000,4.0,6771
81,226,11111111111001110000,4.0,4697
81,5501,11111111111001110000,4.0,21045
81,5544,11111111111001110000,4.0,6039
81,7453,11111111111001110000,4.0,7381
81,10869,11111111111001110000,4.0,1037
86,1628,11111110111010101000,4.0,14400
86,5000,11111110111010101000,4.0,61200
86,10938,11111110111010101000,4.0,11100
89,5690,11111111111101100000,4.0,14062
89,5996,11111111111101100000,4.0,10591
90,3565,11111111111011110000,4.0,1760
90,3578,11111111111011110000,4.0,880
90,3606,11111111111011110000,4.0,2530
90,7470,11111111111011110000,4.0,3630
90,14213,11111111111011110000,4.0,7040
93,422,11111111101001110000,4.0,1080
93,3548,11111111101001110000,4.0,8440
104,3577,11111111111011100000,4.0,629
104,5526,11111111111011100000,4.0,1190
104,14249,11111111111011100000,4.0,1904
106,411,11110111011001100000,4.0,1935
106,12735,11110111011001100000,4.0,870
118,690,11110111011011110000,4.0,32880
118,2079,11110111011011110000,4.0,35894
118,4003,11110111011011110000,4.0,22742
118,8830,11110111011011110000,4.0,43840
118,12744,11110111011011110000,4.0,22468
119,3628,11110101111011010000,4.0,71688
127,703,11110111011100111000,4.0,23408
127,7443,11110111011100111000,4.0,27170
135,5474,11110111011111110000,4.0,10710
136,5917,11110111011101110000,4.0,94000
136,5947,11110111011101110000,4.0,39480
136,11269,11110111011101110000,4.0,3995
136,12782,11110111011101110000,4.0,63450
137,601,11110111011001110000,4.0,4917
137,1991,11110111011001110000,4.0,5676
137,2404,11110111011001110000,4.0,2013
137,10818,11110111011001110000,4.0,1386
137,10926,11110111011001110000,4.0,825
137,11330,11110111011001110000,4.0,1188
145,3958,11110111111001110000,4.0,24420
145,4117,11110111111001110000,4.0,11840
145,8821,11110111111001110000,4.0,24050
145,8920,11110111111001110000,4.0,156140
145,14104,11110111111001110000,4.0,18500
145,14159,11110111111001110000,4.0,32930
145,14266,11110111111001110000,4.0,58090
145,14806,11110111111001110000,4.0,14800
146,1999,11110111011101110000,4.0,36000
146,2052,11110111011101110000,4.0,9450
146,3511,11110111011101110000,4.0,50400
146,11269,11110111011101110000,4.0,3825
146,12710,11110111011101110000,4.0,17325
146,14724,11110111011101110000,4.0,3375
153,3513,11110011001101100000,4.0,19656
154,591,11110101001011110000,4.0,27840
162,575,11111111111001110000,4.0,1800
162,1029,11111111111001110000,4.0,552
162,3612,11111111111001110000,4.0,528
162,5447,11111111111001110000,4.0,2676
162,7472,11111111111001110000,4.0,1548
163,491,11111111111101100000,4.0,6608
163,3085,11111111111101100000,4.0,48734
163,5529,11111111111101100000,4.0,4956
163,12142,11111111111101100000,4.0,18172
167,1453,11111111111101000000,4.0,19107
167,4800,11111111111101000000,4.0,4059
170,3577,11111111111011100000,4.0,2109
170,5526,11111111111011100000,4.0,3990
170,11113,11111111111011100000,4.0,912
175,209,11111111111001110000,4.0,1554
175,3612,11111111111001110000,4.0,616
175,5544,11111111111001110000,4.0,1386
175,7453,11111111111001110000,4.0,1694
175,8941,11111111111001110000,4.0,1288
175,14305,11111111111001110000,4.0,728
179,1280,11111111111100001000,4.0,2622
179,4277,11111111111100001000,4.0,5548
179,5038,11111111111100001000,4.0,3838
179,12599,11111111111100001000,4.0,8170
184,572,11111111111101110000,4.0,4810
184,3611,11111111111101110000,4.0,6771
184,3619,11111111111101110000,4.0,16687
184,5519,11111111111101110000,4.0,3330
184,8958,11111111111101110000,4.0,4625
186,217,11111111111011100001,4.0,8940
186,2116,11111111111011100001,4.0,11340
189,10828,11110111011011110001,4.0,825
190,7400,11110111111100111000,4.0,16356
190,8983,11110111111100111000,4.0,9870
199,8983,11110111111100111000,4.0,21945
200,3612,11111111111001110000,4.0,6028
200,5447,11111111111001110000,4.0,30551
200,5501,11111111111001110000,4.0,47265
200,7472,11111111111001110000,4.0,17673
200,8950,11111111111001110000,4.0,30277
200,10869,11111111111001110000,4.0,2329
208,3493,11110111111011110100,4.0,14784
208,7462,11110111111011110100,4.0,19392
208,14292,11110111111011110100,4.0,22656
209,14305,11111111111001110000,4.0,5772
209,14308,11111111111001110000,4.0,5217
217,8984,11111111111011100001,4.0,16837
218,3521,11111111111111101001,4.0,10728
218,7490,11111111111111101001,4.0,8280
226,5501,11111111111001110000,4.0,26565
226,7453,11111111111001110000,4.0,9317
226,8950,11111111111001110000,4.0,17017
226,10869,11111111111001110000,4.0,1309
226,13114,11111111111001110000,4.0,3388
227,413,11111111111111110000,4.0,8208
227,14333,11111111111111110000,4.0,3132
236,683,11111111011011110001,4.0,2989
246,663,11110111001101110000,4.0,24915
246,702,11110111001101110000,4.0,2750
246,2403,11110111001101110000,4.0,1100
246,3403,11110111001101110000,4.0,2420
247,11122,11110111111100110000,4.0,5742
267,2112,11110111001011100000,4.0,1998
267,5832,11110111001011100000,4.0,9102
308,7678,10100011001100111000,4.0,2047
348,493,11110111001101110000,4.0,19926
349,682,11110111011001110000,4.0,2618
349,5930,11110111011001110000,4.0,2338
349,7702,11110111011001110000,4.0,658
349,9341,11110111011001110000,4.0,1148
349,11329,11110111011001110000,4.0,588
349,11366,11110111011001110000,4.0,616
349,14525,11110111011001110000,4.0,196
379,570,11110111001011110000,4.0,17885
406,674,11111111011011100000,4.0,4640
407,2026,11111111011101100000,4.0,8568
409,10909,11110111111111101000,4.0,4329
410,3085,11111111111101100000,4.0,120596
410,5529,11111111111101100000,4.0,12264
410,5690,11111111111101100000,4.0,46136
420,11411,11110111001011111000,4.0,154
421,5842,11110111001001110000,4.0,407
421,5857,11110111001001110000,4.0,10767
421,7719,11110111001001110000,4.0,2886
428,3605,11111111011001110000,4.0,693
428,7964,11111111011001110000,4.0,10824
428,10928,11111111011001110000,4.0,2178
428,11285,11111111011001110000,4.0,1782
428,14954,11111111011001110000,4.0,924
429,682,11110111011001110000,4.0,2057
429,3894,11110111011001110000,4.0,506
429,4058,11110111011001110000,4.0,297
429,5553,11110111011001110000,4.0,1001
429,7702,11110111011001110000,4.0,517
429,7953,11110111011001110000,4.0,2244
429,9176,11110111011001110000,4.0,330
429,9402,11110111011001110000,4.0,671
429,10926,11110111011001110000,4.0,275
