count,mean,std,min,25%,50%,75%,max,model_index,nckts_FD_0.0,nckts_robust,nckts_FD_0.5,nckts_plastic_0.5,nckts_FD_1.0,nckts_plastic_1.0
59716056.0,54.50753402709961,28.56346321105957,1.569920778274536,30.98133993148804,52.798038482666016,76.46366119384766,166.1932830810547,0,33424976,16117834,22094050,11562329,4197030,2359635
36103753.0,54.47689056396485,28.486787796020508,1.4342999458312988,31.04040908813477,52.73258972167969,76.24095153808594,166.55172729492188,1,18729807,9080462,14158306,7351950,3215640,1911835
23355195.0,55.66511917114258,28.20377922058105,1.4344359636306765,32.71076965332031,54.189701080322266,77.06847381591797,165.2864227294922,2,12581993,6289151,8946684,4501526,1826518,1060953
64530480.0,54.56011581420898,28.63031005859375,1.0895029306411743,31.05410480499268,52.85837936401367,76.37664031982422,166.7935028076172,3,34998609,16854819,25919940,13554668,3611931,2030210
43258951.0,54.33021545410156,28.685636520385746,1.196852684020996,30.72110080718994,52.59058380126953,76.17718124389648,166.79049682617188,4,20261269,9795006,16300698,8392673,6696984,3882557
20151726.0,55.4556999206543,28.37943458557129,1.0895029306411743,32.336952209472656,54.04842185974121,76.89173889160156,166.7935028076172,5,10026951,5026001,7334145,3642023,2790630,1620209
82863501.0,54.74982070922852,28.489835739135746,1.4155840873718262,31.49381446838379,53.02549743652344,76.40972137451172,167.3571319580078,6,40922805,19889716,33792039,17702324,8148657,4431151
73720153.0,54.654781341552734,28.5098819732666,1.2717056274414062,31.35783576965332,52.90655899047852,76.2671890258789,167.3571319580078,7,32498314,15780376,29670150,15367036,11551689,6423198
36120750.0,55.78306198120117,28.275270462036133,1.4311704635620115,32.8054313659668,54.31687355041504,77.20293235778809,166.8054962158203,8,17273904,8669505,14659164,7338626,4187682,2342395
89117925.0,54.33794021606445,28.608516693115234,1.1239372491836548,30.76385307312012,52.61142349243164,76.28980255126953,168.01779174804688,9,53791714,25844575,28324770,14997869,7001441,3854466
74719200.0,54.25714492797852,28.522926330566406,1.118106245994568,30.72784757614136,52.58606719970703,76.18775177001953,165.3256378173828,10,41827115,20258429,22264242,11681360,10627843,5986410
37044528.0,54.82154083251953,28.23213768005371,1.6272937059402466,31.57001209259033,53.39790153503418,76.52458953857422,166.15896606445312,11,20073781,9899590,12904424,6690327,4066323,2266912
102266451.0,54.45709228515625,28.69408226013184,0.8982672691345215,30.815902709960938,52.82281112670898,76.3775634765625,168.0177764892578,12,61274623,29350833,37043721,19464968,3948107,2082982
104307346.0,54.50718307495117,28.744585037231445,0.7011288404464722,30.843943119049072,52.89667320251465,76.46751403808594,168.01467895507812,13,62455195,29951406,38302356,20088092,3549795,1856234
33166440.0,54.8868408203125,28.436628341674805,0.8982672691345215,31.61439847946167,53.42177963256836,76.50164031982422,168.0177764892578,14,20376747,9875007,12287590,6396343,502103,234913
123818716.0,54.39544677734375,28.48736572265625,1.1239372491836548,31.059181213378903,52.692779541015625,76.04368782043457,168.01779174804688,15,64100750,30820384,45661005,24118454,14056961,7549204
155399635.0,54.35396957397461,28.490333557128903,0.6857454776763916,31.029197692871094,52.68040084838867,75.97581100463867,168.01467895507812,16,77243915,37063730,58730220,30991704,19425500,10385103
64610028.0,55.26093292236328,28.406713485717773,1.3459374904632568,32.076534271240234,53.75192260742188,76.83663177490234,168.01779174804688,17,33927479,16737707,24465210,12567523,6217339,3366475
70965741.0,54.81686401367188,28.71466445922852,1.559078335762024,31.164758682250977,53.16108703613281,76.86771392822266,168.02969360351562,18,43394144,21021903,22707174,11895117,4864423,2556732
85615155.0,54.63502502441406,28.591203689575195,1.4882854223251345,31.048927307128903,53.01800155639648,76.5614013671875,164.62620544433594,19,46395568,22764501,26458908,13778843,12760679,7142333
49138741.0,54.97560119628906,28.43682289123535,1.6501855850219729,31.52182960510254,53.44712448120117,76.78770446777344,166.19216918945312,20,25479056,12615433,15594552,7989996,8065133,4484081
75663451.0,55.04186248779297,28.776657104492188,1.0895029306411743,31.314929962158203,53.48564147949219,77.1201171875,168.02967834472656,21,47139688,22881338,26234960,13635627,2288803,1094911
110149903.0,54.80916213989258,28.74759864807129,0.916071891784668,31.156641006469727,53.20698547363281,76.77587890625,168.02658081054688,22,69329780,33419154,36978928,19222705,3841195,1982540
50778003.0,55.082706451416016,28.696372985839844,1.356220841407776,31.546167373657227,53.50723648071289,76.93061447143555,168.02967834472656,23,31279567,15313987,17472840,9027077,2025596,1171284
93591721.0,54.64126586914063,28.60579490661621,1.214229941368103,31.11278533935547,52.97224426269531,76.55274200439453,168.02969360351562,24,52155310,25217108,33723150,17682828,7713261,4162113
147275703.0,54.5374870300293,28.64683151245117,1.1100726127624512,30.976723670959476,52.860008239746094,76.4339599609375,168.02659606933594,25,80933592,38985085,52875960,27672686,13466151,7339808
68626470.0,55.073848724365234,28.52897834777832,1.569920778274536,31.73835611343384,53.54253005981445,76.78974723815918,168.02969360351562,26,37898029,18626542,24263400,12502644,6465041,3564262
61877250.0,54.5779914855957,28.66838264465332,1.139498591423035,31.019763946533203,52.90502548217773,76.52373313903809,167.8347930908203,27,57187652,27336988,716297,270059,3973301,2169267
20998440.0,54.78814315795898,28.755111694335938,1.2329002618789673,31.08514881134033,53.04079246520996,76.99857330322266,167.83181762695312,28,16559386,7950487,1605800,661261,2833254,1650656
