F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,id
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,4813
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,12063
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,12863
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,5571
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,8242
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,8889
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,11116
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,14248
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,14295
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,9461
True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,14284
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,8888
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,218
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,2171
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,3521
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,5509
True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,6799
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,7490
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,8960
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,12853
