function_id,bary_id,number_of_circuits,number_of_networks,text_id
01,9,18001397,15587,expd
02,14,17329020,13919,expg
03,3,11194713,15137,lind
04,12,7317079,12600,ling
05,11,1931364,7840,qdcc
06,4,1522125,8271,qgcx
07,6,1308159,6002,degd
08,10,897637,5162,edlg
09,1,757005,3740,defd
10,2,673460,6020,pkld
11,0,656303,5274,pked
12,8,641479,5976,pkod
13,13,508767,4084,egfd
14,5,373407,3672,edfg
15,16,257286,3308,edog
16,7,94910,1327,dsog
17,17,73924,879,edqg
18,15,43860,794,quad
