bary_id,number_of_circuits,number_of_networks
0,656303,5274
1,757005,3740
2,673460,6020
3,11194713,15137
4,1522125,8271
5,373407,3672
6,1308159,6002
7,94910,1327
8,641479,5976
9,18001397,15587
10,897637,5162
11,1931364,7840
12,7317079,12600
13,508767,4084
14,17329020,13919
15,43860,794
16,257286,3308
17,73924,879
